word,meaning,status,lessonNumber,tags,partOfSpeech,audioWordFilename,audioMeaningFilename,pinyin,source,notes,seenCount,correctCount,wrongCount,listenedSeconds,lastReviewedAt
一个人,one person; alone,known,80,existing known;clip-pack;LMS 1000,,audio/words/一个人.mp3,audio/meanings/one-person;-alone.mp3,yí gè rén,LMS 1000,Existing Known.txt entry.,0,0,0,0,
西门,west gate,known,80,existing known;clip-pack;LMS 1000,,audio/words/西门.mp3,audio/meanings/west-gate.mp3,xī mén,LMS 1000,Existing Known.txt entry.,0,0,0,0,
那时候,at that time,known,80,existing known;clip-pack;LMS 1000,,audio/words/那时候.mp3,audio/meanings/at-that-time.mp3,nà shí hòu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
日,day; sun,known,80,general conversation;clip-pack;LMS 1000,,audio/words/日.mp3,audio/meanings/day;-sun.mp3,rì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
十二,twelve,known,81,existing known;clip-pack;LMS 1000,,audio/words/十二.mp3,audio/meanings/twelve.mp3,shí èr,LMS 1000,Existing Known.txt entry.,0,0,0,0,
第二天,the next day,known,81,existing known;clip-pack;LMS 1000,,audio/words/第二天.mp3,audio/meanings/the-next-day.mp3,dì èr tiān,LMS 1000,Existing Known.txt entry.,0,0,0,0,
一定要,must; be sure to,known,81,existing known;clip-pack;LMS 1000,,audio/words/一定要.mp3,audio/meanings/must;-be-sure-to.mp3,yí dìng yào,LMS 1000,Existing Known.txt entry.,0,0,0,0,
过节,to celebrate a festival,known,81,existing known;clip-pack;LMS 1000,,audio/words/过节.mp3,audio/meanings/to-celebrate-a-festival.mp3,guò jié,LMS 1000,Existing Known.txt entry.,0,0,0,0,
后来,afterwards; later,known,81,narrative glue;clip-pack;LMS 1000,,audio/words/后来.mp3,,hòu lái,LMS 1000,Existing Known.txt entry.,0,0,0,0,
只是,just; merely,known,82,general conversation;clip-pack;LMS 1000,,audio/words/只是.mp3,audio/meanings/just;-merely.mp3,zhǐ shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
那是,that is,known,82,existing known;clip-pack;LMS 1000,,audio/words/那是.mp3,audio/meanings/that-is.mp3,nà shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
看错,to misread; to see incorrectly,known,82,existing known;clip-pack;LMS 1000,,audio/words/看错.mp3,audio/meanings/to-misread;-to-see-incorrectly.mp3,kàn cuò,LMS 1000,Existing Known.txt entry.,0,0,0,0,
走过,to walk past; to pass through,known,82,existing known;clip-pack;LMS 1000,,audio/words/走过.mp3,audio/meanings/to-walk-past;-to-pass-through.mp3,zǒu guò,LMS 1000,Existing Known.txt entry.,0,0,0,0,
觉得,to feel,known,82,emotion/internal arc;clip-pack;LMS 1000,,audio/words/觉得.mp3,audio/meanings/to-feel.mp3,jué de,LMS 1000,Existing Known.txt entry.,0,0,0,0,
下去,to go down,known,83,general conversation;clip-pack;LMS 1000,,audio/words/下去.mp3,audio/meanings/to-go-down.mp3,xià qù,LMS 1000,Existing Known.txt entry.,0,0,0,0,
这不,this is not; isn't this,known,83,existing known;clip-pack;LMS 1000,,audio/words/这不.mp3,,zhè bù,LMS 1000,Existing Known.txt entry.,0,0,0,0,
在世,alive; living,known,83,existing known;clip-pack;LMS 1000,,audio/words/在世.mp3,audio/meanings/alive;-living.mp3,zài shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
大会,conference; general assembly,known,83,existing known;clip-pack;LMS 1000,,audio/words/大会.mp3,audio/meanings/conference;-general-assembly.mp3,dà huì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
到现在,until now,known,83,existing known;clip-pack;LMS 1000,,audio/words/到现在.mp3,audio/meanings/until-now.mp3,dào xiàn zài,LMS 1000,Existing Known.txt entry.,0,0,0,0,
父爱,fatherly love,known,84,existing known;clip-pack;LMS 1000,,audio/words/父爱.mp3,audio/meanings/fatherly-love.mp3,fù ài,LMS 1000,Existing Known.txt entry.,0,0,0,0,
不只,not only,known,84,existing known;clip-pack;LMS 1000,,audio/words/不只.mp3,audio/meanings/not-only.mp3,bù zhī,LMS 1000,Existing Known.txt entry.,0,0,0,0,
人中,among people,known,84,existing known;clip-pack;LMS 1000,,audio/words/人中.mp3,audio/meanings/among-people.mp3,rén zhōng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
对不对,right?; is that correct?,known,84,existing known;clip-pack;LMS 1000,,audio/words/对不对.mp3,audio/meanings/right-;-is-that-correct.mp3,duì bu duì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
去死,go die; die,known,84,existing known;clip-pack;LMS 1000,,audio/words/去死.mp3,audio/meanings/go-die;-die.mp3,qù sǐ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
那时,at that time; then,known,85,general conversation;clip-pack;LMS 1000,,audio/words/那时.mp3,audio/meanings/at-that-time;-then.mp3,nà shí,LMS 1000,Existing Known.txt entry.,0,0,0,0,
穿上,to put on,known,85,existing known;clip-pack;LMS 1000,,audio/words/穿上.mp3,audio/meanings/to-put-on.mp3,chuān shàng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
